taxon_crisp,taxon_sp,taxon,series
Euc_P6_Eucalyptus_balladoniensis,Eucalyptus_balladoniensis,Eucalyptus_balladoniensis,Balladonienses
euc_brockwayi_Cs474_P12MR_16,Eucalyptus_brockwayi,Eucalyptus_brockwayi,Brockwayanae
Euc_P2_Eucalyptus_behiana_646_A03,Eucalyptus_behriana,Eucalyptus_behriana,Buxeales
Euc_P4_Eucalyptus_behiana_441_H04,Eucalyptus_behriana,Eucalyptus_behriana,Buxeales
Euc_P2_Eucalyptus_dawsonii_762_D05,Eucalyptus_dawsonii,Eucalyptus_dawsonii,Buxeales
Euc_P2_Eucalyptus_intetexta_204_D07,Eucalyptus_intertexta,Eucalyptus_intertexta,Buxeales
P1_MR_Eucalyptus_intetexta_10617_P1_MR_A07,Eucalyptus_intertexta,Eucalyptus_intertexta,Buxeales
P13_MR_Eucalyptus_pesistens,Eucalyptus_persistens,Eucalyptus_persistens,Buxeales
P13_MR_Eucalyptus_populnea_bownii,Eucalyptus_populnea,Eucalyptus_populnea_brownii,Buxeales
P4_MR_Eucalyptus_populnea_10633_P4_MR_G06,Eucalyptus_populnea,Eucalyptus_populnea,Buxeales
Euc_P4_Eucalyptus_spasa_AHT,Eucalyptus_sparsa,Eucalyptus_sparsa,Buxeales
Euc_P4_Eucalyptus_calcicola,Eucalyptus_calcicola,Eucalyptus_calcicola,Calcicolae
euc_ligulata_Cs721_P12MR_12,Eucalyptus_ligulata,Eucalyptus_ligulata,Calcicolae
P1_MR_Eucalyptus_ligulata,Eucalyptus_ligulata,Eucalyptus_ligulata,Calcicolae
Euc_P6_Eucalyptus_vegandis,Eucalyptus_vegrandis,Eucalyptus_vegrandis,Clinatae
Euc_P4_Eucalyptus_vesiculosa_87_H02,Eucalyptus_vesiculosa,Eucalyptus_vesiculosa,Clinatae
P13_MR_Eucalyptus_boviniensis_11579_P13_MR_G01,Eucalyptus_broviniensis,Eucalyptus_broviniensis,Connexentes
Euc_P4_Eucalyptus_effusa,Eucalyptus_effusa,Eucalyptus_effusa,Contortae
P4_MR_Eucalyptus_effusa,Eucalyptus_effusa,Eucalyptus_effusa,Contortae
P4_MR_Eucalyptus_jimbelanica_11469_P4_MR_E01,Eucalyptus_jimberlanica,Eucalyptus_jimberlanica,Contortae
P4_MR_Eucalyptus_avida_11467_P4_MR_D01,Eucalyptus_ravida,Eucalyptus_ravida,Contortae
P4_MR_Eucalyptus_salubis_11463_P4_MR_B01,Eucalyptus_salubris,Eucalyptus_salubris,Contortae
P4_MR_Eucalyptus_teebra_11471_P4_MR_G01,Eucalyptus_terebra,Eucalyptus_terebra,Contortae
P1_MR_Eucalyptus_buracoppinensis_10744_P1_MR_B10,Eucalyptus_burracoppinensis,Eucalyptus_burracoppinensis,Curviptera
Euc_P4_Eucalyptus_dummondii,Eucalyptus_drummondii,Eucalyptus_drummondii,Curviptera
P3_MR_Eucalyptus_glomeosa_11454_P3_MR_C12,Eucalyptus_glomerosa,Eucalyptus_glomerosa,Curviptera
P4_MR_Eucalyptus_kingsmillii,Eucalyptus_kingsmillii,Eucalyptus_kingsmillii,Curviptera
P1_MR_Eucalyptus_leptopoda,Eucalyptus_leptopoda,Eucalyptus_leptopoda,Curviptera
Euc_P2_Eucalyptus_minniitchi_263_A07,Eucalyptus_minniritchi,Eucalyptus_minniritchi,Curviptera
Euc_P6_Eucalyptus_oldfieldii,Eucalyptus_oldfieldii,Eucalyptus_oldfieldii,Curviptera
P4_MR_Eucalyptus_oldfieldii_10775_P4_MR_F07,Eucalyptus_oldfieldii,Eucalyptus_oldfieldii,Curviptera
Euc_P4_Eucalyptus_obifolia_472_A05,Eucalyptus_orbifolia,Eucalyptus_orbifolia,Curviptera
Euc_P4_Eucalyptus_osacea_645_F02,Eucalyptus_rosacea,Eucalyptus_rosacea,Curviptera
P3_MR_Eucalyptus_sessilis_11437_P3_MR_C11,Eucalyptus_sessilis,Eucalyptus_sessilis,Curviptera
Euc_P4_Eucalyptus_youngiana_198_F09,Eucalyptus_youngiana,Eucalyptus_youngiana,Curviptera
Euc_P4_Eucalyptus_deanei_623_E03,Eucalyptus_deanei,Eucalyptus_deanei,Deaneanae
Euc_P4_Eucalyptus_ecurva_ANBG,Eucalyptus_decurva,Eucalyptus_decurva,Decurvae
Euc_P6_Eucalyptus_divesifolia,Eucalyptus_diversifolia,Eucalyptus_diversifolia,Diversiformae
P1_MR_Eucalyptus_divesifolia,Eucalyptus_diversifolia,Eucalyptus_diversifolia,Diversiformae
P4_MR_Eucalyptus_eectifolia_10977_P4_MR_E10,Eucalyptus_erectifolia,Eucalyptus_erectifolia,Diversiformae
euc_pachyloma_Cs426_P12MR_14,Eucalyptus_pachyloma,Eucalyptus_pachyloma,Diversiformae
euc_platydisca_CANB638520_P12MR_34,Eucalyptus_platydisca,Eucalyptus_platydisca,Diversiformae
P13_MR_Coymbia_abergiana_11644_P13_MR_E09,Corymbia_abergiana,Corymbia_abergiana,Dorsiventrales
P13_MR_Coymbia_abergiana_11656_P13_MR_F10,Corymbia_abergiana,Corymbia_abergiana,Dorsiventrales
P1_MR_Coymbia_arenaria_10558_P1_MR_A04,Corymbia_arenaria,Corymbia_arenaria,Dorsiventrales
P13_MR_Coymbia_hendersonii_11583_P13_MR_C02,Corymbia_hendersonii,Corymbia_hendersonii,Dorsiventrales
P13_MR_Coymbia_hylandii_11627_P13_MR_E07,Corymbia_hylandii,Corymbia_hylandii,Dorsiventrales
P13_MR_Coymbia_intermedia_11620_P13_MR_F06,Corymbia_intermedia,Corymbia_intermedia,Dorsiventrales
P13_MR_Coymbia_intermedia_11657_P13_MR_G10,Corymbia_intermedia,Corymbia_intermedia,Dorsiventrales
P13_MR_Coymbia_polycarpa_11621_P13_MR_G06,Corymbia_polycarpa,Corymbia_polycarpa,Dorsiventrales
P4_MR_Coymbia_ptychocarpa,Corymbia_ptychocarpa,Corymbia_ptychocarpa,Dorsiventrales
P13_MR_Coymbia_rhodops_11652_P13_MR_B10,Corymbia_rhodops,Corymbia_rhodops,Dorsiventrales
Euc_P8_Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Ebbanoenses
P1_MR_Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Ebbanoenses
P2_MR_Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Eucalyptus_ebbanoensis,Ebbanoenses
P1_MR_Eucalyptus_annulata_10970_P1_MR_E12,Eucalyptus_annulata,Eucalyptus_annulata,Erectae
