taxon,taxon_sp,taxon_sp_new,genus,subgenus,section,series,subseries,species,subspecies
Eucalyptus_curtisi,Eucalyptus_curtisi,Eucalyptus_curtisi,Eucalyptus,Acerosae,Subgen_Acerosae,Subgen_Acerosae,,curtisi,
Eucalyptus_curtisii_curtisii,Eucalyptus_curtisii,Eucalyptus_curtisii,Eucalyptus,Acerosae,Subgen_Acerosae,Subgen_Acerosae,,curtisii,curtisii
Eucalyptus_microcorys,Eucalyptus_microcorys,Eucalyptus_microcorys,Eucalyptus,Alveolata,Subgen_Alveolata,Subgen_Alveolata,,microcorys,
Angophora_bakeri_bakeri,Angophora_bakeri,Eucalyptus_angustata,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,angustata,angustata
Angophora_bakeri_crassifolia,Angophora_bakeri,Eucalyptus_angustata,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,angustata,crassifolia
Angophora_floribunda,Angophora_floribunda,Eucalyptus_florida,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,florida,
Angophora_florida,Angophora_florida,Eucalyptus_florida,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,florida,
Angophora_melana,Angophora_melana,Eucalyptus_melana,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Melanoxylon,melana,
Angophora_melanoxylon,Angophora_melanoxylon,Eucalyptus_melana,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Melanoxylon,melana,
Angophora_apocynifolia_apocynifolia,Angophora_apocynifolia,Eucalyptus_apocynifolia,Eucalyptus,Angophora,Subgen_Angophora,Costatitae,,apocynifolia,apocynifolia
Angophora_apocynifolia_euryphylla,Angophora_apocynifolia,Eucalyptus_apocynifolia,Eucalyptus,Angophora,Subgen_Angophora,Costatitae,,apocynifolia,euryphylla
Angophora_costata_costata,Angophora_costata,Eucalyptus_apocynifolia,Eucalyptus,Angophora,Subgen_Angophora,Costatitae,,apocynifolia,
Angophora_exul,Angophora_exul,Eucalyptus_exul,Eucalyptus,Angophora,Subgen_Angophora,Inter-serieshybrid,,exul,
Angophora_hispida,Angophora_hispida,Eucalyptus_hispida,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Angophora,hispida,
Angophora_inopina,Angophora_inopina,Eucalyptus_inopina,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,inopina,
Angophora_robur,Angophora_robur,Eucalyptus_robur,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Angophora,robur,
Angophora_subvelutina,Angophora_subvelutina,Eucalyptus_subvelutina,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Angophora,subvelutina,
Angophora_woodsiana,Angophora_woodsiana,Eucalyptus_woodsiana,Eucalyptus,Angophora,Subgen_Angophora,Angophora,Floribundinae,woodsiana,
Angophora_leiocarpa,Angophora_leiocarpa,Eucalyptus_leiocarpa,Eucalyptus,Angophora,Subgen_Angophora,Costatitae,,leiocarpa,
Corymbia_dallachiana,Corymbia_dallachiana,Eucalyptus_aparrerinja_dallachiana,Eucalyptus,Blakella,Abbreviatae,Scutiformes,,aparrerinja,
Corymbia_chillagoensis,Corymbia_chillagoensis,Eucalyptus_chillagoensis,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,chillagoensis,
Corymbia_karelgica,Corymbia_karelgica,Eucalyptus_disjuncta,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,disjuncta,
Corymbia_paractia,Corymbia_paractia,Eucalyptus_paractia,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,,
Corymbia_paractia,Corymbia_paractia,Eucalyptus_paractia,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,paractia,
Corymbia_sp.PrinceRegentRiver(Barrett3750&Barrett),Corymbia_sp.PrinceRegentRiver(Barrett3750&Barrett),Eucalyptus_sp.PrinceRegentRiver(Barrett3750&Barrett),Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,sp.PrinceRegentRiver(Barrett3750&Barrett),
Corymbia_aparrerinja_aparrerinja,Corymbia_aparrerinja,Eucalyptus_aparrerinja,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,aparrerinja,aparrerinja
Corymbia_aparrerinja_dallachiana,Corymbia_aparrerinja,Eucalyptus_aparrerinja,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,aparrerinja,dallachiana
Corymbia_arafurica,Corymbia_arafurica,Eucalyptus_arafurica,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,arafurica,
Corymbia_aspera,Corymbia_aspera,Eucalyptus_aspera,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,aspera,
Corymbia_bella,Corymbia_bella,Eucalyptus_bella,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,bella,
Corymbia_blakei,Corymbia_blakei,Eucalyptus_blakei,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,blakei,
Corymbia_candida_lautifolia,Corymbia_candida,Eucalyptus_candida,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,candida,
Corymbia_candida,Corymbia_candida,Eucalyptus_candida,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,candida,
Corymbia_clavigera,Corymbia_clavigera,Eucalyptus_clavigera,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,clavigera,
Corymbia_confertiflora,Corymbia_confertiflora,Eucalyptus_confertiflora,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,confertiflora,
Corymbia_dendromerinx,Corymbia_dendromerinx,Eucalyptus_dendromerinx,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,dendromerinx,
Corymbia_disjuncta,Corymbia_disjuncta,Eucalyptus_disjuncta,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,disjuncta,
Corymbia_ferriticola,Corymbia_ferriticola,Eucalyptus_ferriticola,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,ferriticola,
Corymbia_flavescens,Corymbia_flavescens,Eucalyptus_flavescens,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,flavescens,
Corymbia_gilbertensis,Corymbia_gilbertensis,Eucalyptus_gilbertensis,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,gilbertensis,
Corymbia_grandifolia_grandifolia,Corymbia_grandifolia,Eucalyptus_grandifolia,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,grandifolia,grandifolia
Corymbia_grandifolia_lamprocardia,Corymbia_grandifolia,Eucalyptus_grandifolia,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,grandifolia,lamprocardia
Corymbia_grandifolia_longa,Corymbia_grandifolia,Eucalyptus_grandifolia,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,grandifolia,longa
Corymbia_kombolgiensis,Corymbia_kombolgiensis,Eucalyptus_kombolgiensis,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,kombolgiensis,
Corymbia_papuana,Corymbia_papuana,Eucalyptus_papuana,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,papuana,
Corymbia_pauciseta,Corymbia_pauciseta,Eucalyptus_pauciseta,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,pauciseta,
Corymbia_polysciada,Corymbia_polysciada,Eucalyptus_polysciada,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,polysciada,
Corymbia_tessellaris,Corymbia_tessellaris,Eucalyptus_tessellaris,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,tessellaris,
Corymbia_torta,Corymbia_torta,Eucalyptus_torta,Eucalyptus,Blakella,Abbreviatae,Sect_Abbreviatae,,torta,
Corymbia_citriodora,Corymbia_citriodora,Eucalyptus_citriodora,Eucalyptus,Blakella,Maculatae,Maculatae,,citriodora,
